Vĩ độ,Kinh độ,Tỉnh,Huyện,Xã,Tiểu vùng,Thửa đất,Lô đất,Chủ rừng,Loại đất,Nguồn gốc tài nguyên rừng,Ngày,Độ ưu tiên,Trạng thái
11.3109,108.093964,Lâm Đồng,Di Linh,Gia Bắc,736,7.0,41.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tầm võng tự nhiên,Rừng tự nhiên,2018-05-01,Trung bình,Chưa xác minh
11.3082,108.062927,Lâm Đồng,Di Linh,Gia Bắc,735,3.0,18.0,Cộng đồng thôn Đà Hòng,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-05-01,Thấp,Chưa xác minh
11.3076,108.091848,Lâm Đồng,Di Linh,Gia Bắc,735,2.0,31.0,Ủy ban nhân dân xã,Rừng trồng khác,Rừng trồng,2018-05-01,Cao,Chưa xác minh
11.2867,108.052282,Lâm Đồng,Di Linh,Sơn Điền,734,8.0,3.0,Công ty TNHH xuất nhập khẩu Tiến Lê,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-05-01,Thấp,Chưa xác minh
11.2804,108.103656,Lâm Đồng,Di Linh,Gia Bắc,738,6.0,4.0,Công ty TNHH một thành viên lâm nghiệp Di Linh,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-05-01,Trung bình,Chưa xác minh
11.4707,108.142697,Lâm Đồng,Di Linh,Bảo Thuận,698,4.0,2.0,Công ty TNHH một thành viên lâm nghiệp Bảo Thuận,Rừng tự nhiên thường xanh lá rộng nghèo,Rừng tự nhiên,2018-05-01,Thấp,Chưa xác minh
11.434,108.264239,Lâm Đồng,Di Linh,Tam Bố,702,5.0,1.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tre tự nhiên hỗn hợp,Rừng tự nhiên,2018-05-01,Thấp,Chưa xác minh
11.6229,108.021808,Lâm Đồng,Di Linh,Tân Châu,621B,3.0,2.0,Ban Quản lý rừng Tân Thượng,Rừng trồng khác,Rừng trồng,2018-05-01,Thấp,Chưa xác minh
11.5735,108.171322,Lâm Đồng,Di Linh,Tam Bố,645,11.0,11.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng tự nhiên thường xanh lá rộng phục hồi,Rừng tự nhiên,2018-05-01,Cao,Chưa xác minh
11.5548,108.185929,Lâm Đồng,Di Linh,Tam Bố,666,12.0,13.0,Công ty TNHH một thành viên lâm nghiệp Tam Hiệp,Rừng trồng gỗ không có trữ lượng,Rừng trồng,2018-05-01,Thấp,Chưa xác minh
